Jahr, Spritpreis in EUR-Cent
1972,35.3
1973,38.9
1974,46.0
1975,46.0
1976,47.5
1977,45.9
1978,47.1
1979,51.2
1980,60.2
1981,72.7
1982,71.0
1983,70.8
1984,70.7
1985,72.6
1986,55.3
1987,53.0
1988,51.9
1989,63.4
1990,65.9
1991,73.5
1992,76.7
1993,78.1
1994,86.6
1995,86.7
1996,89.8
1997,85.2
1998,81.2
1999,86.7
2000,101.8
2001,102.4
2002,104.8
2003,109.5
2004,114.0
2005,122.3
2006,128.9
2007,134.4
2008,139.9
2009,127.8
2010,141.5
2011,155.4
2012,164.6
2013,159.2
2014,152.8
2015,139.4
2016,129.6
2017,136.6
2018,145.6
2019,143.2
2020,129.3
2021,157.9
2022,192.59
2023,182.52
